,Standard Industrial Classification (Revised 2007)     Section           Division -,Standard Industrial Classification (Revised 2007)     Section           Division -,Country and Region -,Country and Region -,STANDARD ERROR Total turnover,STANDARD ERROR Approximate gross value added at basic prices (aGVA),"STANDARD ERROR Total purchases of goods, materials and services",STANDARD ERROR Total employment costs,COEFFICIENT OF VARIATION Total turnover,COEFFICIENT OF VARIATION Approximate gross value added at basic prices (aGVA),"COEFFICIENT OF VARIATION Total purchases of goods, materials and services",COEFFICIENT OF VARIATION Total employment costs
12,A-S (Part) 2,UK non-financial business economy,North West,2015.0,3875.1,1554.3,3160.5,718.6,0.01,0.01,0.01,0.01
13,A-S (Part) 2,UK non-financial business economy,North West,2016.0,4106.5,1857.2,3229.9,532.2,0.01,0.02,0.02,0.01
14,A-S (Part) 2,UK non-financial business economy,North West,2017.0,3284.3,1484.2,2499.5,618.9,0.01,0.01,0.01,0.01
15,A-S (Part) 2,UK non-financial business economy,North West,2018.0,5174.2,1681.4,4361.8,572.1,0.01,0.01,0.02,0.01
16,A-S (Part) 2,UK non-financial business economy,North West,2019.0,5875.8,3613.9,4034,759.2,0.02,0.03,0.02,0.01
17,A-S (Part) 2,UK non-financial business economy,Yorkshire and The Humber,2012.0,2878.5,807.4,2585.5,273,0.01,0.01,0.02,0.01
18,A-S (Part) 2,UK non-financial business economy,Yorkshire and The Humber,2013.0,2940.6,887.6,2314.8,310.9,0.01,0.01,0.02,0.01
19,A-S (Part) 2,UK non-financial business economy,Yorkshire and The Humber,2014.0,3191,885.5,2416.7,280.9,0.01,0.01,0.02,0.01
20,A-S (Part) 2,UK non-financial business economy,Yorkshire and The Humber,2015.0,3045.4,1144.8,2303.8,344.1,0.01,0.02,0.02,0.01
21,A-S (Part) 2,UK non-financial business economy,Yorkshire and The Humber,2016.0,2400.8,942.7,1878.1,409.4,0.01,0.01,0.01,0.01
22,A-S (Part) 2,UK non-financial business economy,Yorkshire and The Humber,2017.0,2539,967.6,1953.2,481.1,0.01,0.01,0.01,0.01
23,A-S (Part) 2,UK non-financial business economy,Yorkshire and The Humber,2018.0,3685.9,1036.5,3065.2,411.8,0.01,0.01,0.02,0.01
24,A-S (Part) 2,UK non-financial business economy,Yorkshire and The Humber,2019.0,4545.6,1597.5,3664.5,475.3,0.02,0.02,0.02,0.01
25,A-S (Part) 2,UK non-financial business economy,East Midlands,2012.0,1716.6,654.8,1443.5,362.3,0.01,0.01,0.01,0.01
26,A-S (Part) 2,UK non-financial business economy,East Midlands,2013.0,1899.1,742.2,1601.4,273.7,0.01,0.01,0.01,0.01
27,A-S (Part) 2,UK non-financial business economy,East Midlands,2014.0,1899.1,954.6,2017.2,288.3,0.01,0.01,0.02,0.01
28,A-S (Part) 2,UK non-financial business economy,East Midlands,2015.0,2228.2,1081,2175.3,363.4,0.01,0.02,0.02,0.01
29,A-S (Part) 2,UK non-financial business economy,East Midlands,2016.0,2208.7,1225.9,2483.9,448.3,0.01,0.02,0.02,0.01
30,A-S (Part) 2,UK non-financial business economy,East Midlands,2017.0,2620.9,1106.7,2425.5,485,0.01,0.02,0.02,0.01
31,A-S (Part) 2,UK non-financial business economy,East Midlands,2018.0,2763.5,1357.1,2533,431.8,0.01,0.02,0.02,0.01
32,A-S (Part) 2,UK non-financial business economy,East Midlands,2019.0,3352.4,1555,2839,484.9,0.02,0.02,0.02,0.01
33,A-S (Part) 2,UK non-financial business economy,West Midlands,2012.0,2057.3,752.1,1800.9,268.8,0.01,0.01,0.01,0.01
34,A-S (Part) 2,UK non-financial business economy,West Midlands,2013.0,2565.8,832,2248.1,368.9,0.01,0.01,0.01,0.01
35,A-S (Part) 2,UK non-financial business economy,West Midlands,2014.0,2378.9,935.6,1903.8,354,0.01,0.01,0.01,0.01
36,A-S (Part) 2,UK non-financial business economy,West Midlands,2015.0,2669.1,1023,2257.3,421.7,0.01,0.01,0.01,0.01
37,A-S (Part) 2,UK non-financial business economy,West Midlands,2016.0,2655.6,1301,1973,498.7,0.01,0.01,0.01,0.01
38,A-S (Part) 2,UK non-financial business economy,West Midlands,2017.0,2873.5,1180,2328.8,491.5,0.01,0.01,0.01,0.01
39,A-S (Part) 2,UK non-financial business economy,West Midlands,2018.0,3862.9,1133.3,3225.5,453.5,0.01,0.01,0.02,0.01
40,A-S (Part) 2,UK non-financial business economy,West Midlands,2019.0,3782.2,2259.1,3052.6,651.6,0.01,0.02,0.02,0.01
41,A-S (Part) 2,UK non-financial business economy,East of England,2012.0,3052,1258,2532,485.4,0.01,0.02,0.01,0.01
42,A-S (Part) 2,UK non-financial business economy,East of England,2013.0,2699.2,1226.1,2068.2,542.9,0.01,0.01,0.01,0.01
43,A-S (Part) 2,UK non-financial business economy,East of England,2014.0,2995.9,1411.9,2316.9,602.6,0.01,0.02,0.01,0.01
44,A-S (Part) 2,UK non-financial business economy,East of England,2015.0,3420.2,1516.9,2657.3,604.7,0.01,0.02,0.01,0.01
45,A-S (Part) 2,UK non-financial business economy,East of England,2016.0,3154.6,1533.5,2397.9,683.3,0.01,0.02,0.01,0.01
46,A-S (Part) 2,UK non-financial business economy,East of England,2017.0,3634.7,1598,2837.3,636.9,0.01,0.01,0.01,0.01
47,A-S (Part) 2,UK non-financial business economy,East of England,2018.0,5542.3,1664.7,3242.9,690.5,0.02,0.02,0.01,0.01
48,A-S (Part) 2,UK non-financial business economy,East of England,2019.0,5804.2,2796.1,4129,951.1,0.02,0.02,0.02,0.02
49,A-S (Part) 2,UK non-financial business economy,London,2012.0,4349.6,2351.9,3667.1,951.7,0.02,0.01,0.02,0.01
50,A-S (Part) 2,UK non-financial business economy,London,2013.0,5687.5,2378,4797.1,1036.3,0.01,0.01,0.01,0.01
51,A-S (Part) 2,UK non-financial business economy,London,2014.0,5388,3250.9,3808.1,1328.6,0.01,0.01,0.01,0.01
52,A-S (Part) 2,UK non-financial business economy,London,2015.0,5701.5,3333.5,4286.1,1533,0.01,0.01,0.01,0.01
53,A-S (Part) 2,UK non-financial business economy,London,2016.0,7612.8,4918.1,4856.7,1763.1,0.01,0.02,0.01,0.01
54,A-S (Part) 2,UK non-financial business economy,London,2017.0,6628.2,3384.8,5190.1,1632.6,0.01,0.01,0.01,0.01
55,A-S (Part) 2,UK non-financial business economy,London,2018.0,6545.4,3182.5,5258.3,1377.9,0.01,0.01,0.01,0.01
56,A-S (Part) 2,UK non-financial business economy,London,2019.0,9173.8,4955.7,6215.7,1854.2,0.01,0.02,0.01,0.01
57,A-S (Part) 2,UK non-financial business economy,South East,2012.0,4855.3,1755.1,3780.2,757.2,0.01,0.01,0.01,0.01
58,A-S (Part) 2,UK non-financial business economy,South East,2013.0,5211.3,1861.7,4141.1,757.3,0.01,0.01,0.01,0.01
59,A-S (Part) 2,UK non-financial business economy,South East,2014.0,5752.3,1955.6,4278.8,1009.6,0.01,0.01,0.01,0.01
60,A-S (Part) 2,UK non-financial business economy,South East,2015.0,5279.3,2215.1,3990.1,949.4,0.01,0.01,0.01,0.01
61,A-S (Part) 2,UK non-financial business economy,South East,2016.0,5199.4,2290.5,4239.8,922.7,0.01,0.01,0.01,0.01
62,A-S (Part) 2,UK non-financial business economy,South East,2017.0,5484.7,2303,4596.1,904.6,0.01,0.01,0.01,0.01
63,A-S (Part) 2,UK non-financial business economy,South East,2018.0,6649.8,2645.2,5217.3,1162.7,0.01,0.01,0.01,0.01
64,A-S (Part) 2,UK non-financial business economy,South East,2019.0,9569.3,3790.7,7921.9,1523.5,0.01,0.02,0.02,0.01
65,A-S (Part) 2,UK non-financial business economy,South West,2012.0,1896.6,790.4,1575.2,403,0.01,0.01,0.01,0.01
66,A-S (Part) 2,UK non-financial business economy,South West,2013.0,2761.8,950.3,2446.6,328.6,0.01,0.01,0.02,0.01
67,A-S (Part) 2,UK non-financial business economy,South West,2014.0,2097.3,1004.7,1627.2,365.8,0.01,0.01,0.01,0.01
68,A-S (Part) 2,UK non-financial business economy,South West,2015.0,2034.1,946.2,1625.4,377.9,0.01,0.01,0.01,0.01
69,A-S (Part) 2,UK non-financial business economy,South West,2016.0,2727,1226.5,2153.1,438.1,0.01,0.02,0.02,0.01
70,A-S (Part) 2,UK non-financial business economy,South West,2017.0,3055.4,1020.7,2594.3,419.7,0.01,0.01,0.02,0.01
71,A-S (Part) 2,UK non-financial business economy,South West,2018.0,2740.4,1137.5,1964.5,416.7,0.01,0.01,0.01,0.01
72,A-S (Part) 2,UK non-financial business economy,South West,2019.0,2946.6,1471.1,2343.7,536.4,0.01,0.02,0.02,0.01
73,A-S (Part) 2,UK non-financial business economy,England,2012.0,6115.7,3811.1,5492.1,1578.2,0.01,0.02,0.02,0.01
74,A-S (Part) 2,UK non-financial business economy,England,2013.0,7327.5,4413.5,5620.9,1577.7,0.01,0.01,0.02,0.01
75,A-S (Part) 2,UK non-financial business economy,England,2014.0,5306.3,4178.9,4552.3,1582.6,0.01,0.01,0.02,0.01
76,A-S (Part) 2,UK non-financial business economy,England,2015.0,5908.4,4567.9,5442.7,2367.4,0.01,0.01,0.02,0.01
77,A-S (Part) 2,UK non-financial business economy,England,2016.0,7380.5,6121.8,5853.9,2447.2,0.01,0.01,0.02,0.01
78,A-S (Part) 2,UK non-financial business economy,England,2017.0,5897.5,4157.2,5303.4,2171.9,0.01,0.01,0.02,0.01
79,A-S (Part) 2,UK non-financial business economy,England,2018.0,6446.2,4725.6,6142.3,1977.3,0.01,0.01,0.02,0.01
80,A-S (Part) 2,UK non-financial business economy,England,2019.0,7386.5,5792.7,7245.3,2449.8,0.01,0.01,0.02,0.01
81,A-S (Part) 2,UK non-financial business economy,Wales,2012.0,3126.9,471.3,2950.2,165.3,0.03,0.02,0.04,0.01
82,A-S (Part) 2,UK non-financial business economy,Wales,2013.0,2987.3,608.8,2839.2,195.8,0.03,0.02,0.04,0.01
83,A-S (Part) 2,UK non-financial business economy,Wales,2014.0,1831.3,453.6,1851.6,192.6,0.02,0.01,0.03,0.01
84,A-S (Part) 2,UK non-financial business economy,Wales,2015.0,1938,663.9,1717.6,197.6,0.02,0.02,0.02,0.01
85,A-S (Part) 2,UK non-financial business economy,Wales,2016.0,2045.9,778.7,1819.2,270.3,0.02,0.02,0.03,0.01
86,A-S (Part) 2,UK non-financial business economy,Wales,2017.0,1977.8,725.7,1807.2,297.2,0.02,0.02,0.02,0.02
87,A-S (Part) 2,UK non-financial business economy,Wales,2018.0,2631.5,879.2,2239.9,369.3,0.02,0.02,0.03,0.02
88,A-S (Part) 2,UK non-financial business economy,Wales,2019.0,3072.9,1207.7,2445.5,353.6,0.03,0.03,0.03,0.02
89,A-S (Part) 2,UK non-financial business economy,Scotland,2012.0,2122.2,1158.8,1739.5,227.4,0.01,0.01,0.01,0.01
90,A-S (Part) 2,UK non-financial business economy,Scotland,2013.0,2468.9,1186.5,2168.6,263.1,0.01,0.01,0.01,0.01
91,A-S (Part) 2,UK non-financial business economy,Scotland,2014.0,2143.6,1121.4,1749.9,245.2,0.01,0.01,0.01,0.01
92,A-S (Part) 2,UK non-financial business economy,Scotland,2015.0,2430.3,922.7,2094,284,0.01,0.01,0.01,0.01
93,A-S (Part) 2,UK non-financial business economy,Scotland,2016.0,2070.4,895.6,1745.4,292.9,0.01,0.01,0.01,0.01
94,A-S (Part) 2,UK non-financial business economy,Scotland,2017.0,1852,1052.5,1316.2,316.5,0.01,0.01,0.01,0.01
95,A-S (Part) 2,UK non-financial business economy,Scotland,2018.0,2003.6,1105,1453.2,295,0.01,0.01,0.01,0.01
96,A-S (Part) 2,UK non-financial business economy,Scotland,2019.0,2917.9,1350,2255.6,314,0.01,0.01,0.02,0.01
97,A-S (Part) 2,UK non-financial business economy,Northern Ireland,2012.0,1277.8,403.7,1064.8,173,0.02,0.02,0.03,0.02
98,A-S (Part) 2,UK non-financial business economy,Northern Ireland,2013.0,747,350.7,621.7,74.4,0.01,0.02,0.01,0.01
99,A-S (Part) 2,UK non-financial business economy,Northern Ireland,2014.0,672.6,290.6,567.7,74.5,0.01,0.01,0.01,0.01
100,A-S (Part) 2,UK non-financial business economy,Northern Ireland,2015.0,806.4,403.5,584.3,107.4,0.01,0.02,0.01,0.01
101,A-S (Part) 2,UK non-financial business economy,Northern Ireland,2016.0,850.3,277.9,750.2,221.9,0.01,0.01,0.02,0.02
102,A-S (Part) 2,UK non-financial business economy,Northern Ireland,2017.0,913.8,444.1,711.2,137.9,0.01,0.02,0.01,0.01
103,A-S (Part) 2,UK non-financial business economy,Northern Ireland,2018.0,988.1,371.6,831.4,115.2,0.01,0.01,0.02,0.01
104,A-S (Part) 2,UK non-financial business economy,Northern Ireland,2019.0,1247.3,547.9,965.8,135.2,0.02,0.02,0.02,0.01
105,A-S (Part) 2,UK non-financial business economy,United Kingdom,2012.0,5460.5,3970.1,4859.9,1696.4,0.02,0.02,0.02,0.01
106,A-S (Part) 2,UK non-financial business economy,United Kingdom,2013.0,6976.8,4638.4,4942.3,1687.4,0.02,0.02,0.02,0.01
107,A-S (Part) 2,UK non-financial business economy,United Kingdom,2014.0,5165.3,4280.5,4173.8,1618.1,0.02,0.02,0.02,0.01
108,A-S (Part) 2,UK non-financial business economy,United Kingdom,2015.0,5526.4,4847,5099.1,2528.7,0.02,0.02,0.02,0.01
109,A-S (Part) 2,UK non-financial business economy,United Kingdom,2016.0,7008.6,6345.8,5630.5,2577.1,0.02,0.01,0.02,0.01
110,A-S (Part) 2,UK non-financial business economy,United Kingdom,2017.0,5700.7,4243.4,5106.6,2274.2,0.02,0.01,0.02,0.01
111,A-S (Part) 2,UK non-financial business economy,United Kingdom,2018.0,6033.5,4858.1,5994.7,2080.1,0.02,0.01,0.02,0.01
112,A-S (Part) 2,UK non-financial business economy,United Kingdom,2019.0,6345.2,6084.4,6560.2,2541.8,0.02,0.01,0.02,0.01
113,A (Part) 2,"Agriculture, forestry and fishing",North East,2012.0,7.1,3.1,6.1,0.7,0.09,0.11,0.12,0.05
114,A (Part) 2,"Agriculture, forestry and fishing",North East,2013.0,5.1,2.9,3.7,1,0.06,0.08,0.07,0.06
115,A (Part) 2,"Agriculture, forestry and fishing",North East,2014.0,8.8,3.7,6.1,1.2,0.09,0.09,0.11,0.07
116,A (Part) 2,"Agriculture, forestry and fishing",North East,2015.0,7.5,4.1,5.3,1.1,0.08,0.09,0.09,0.07
117,A (Part) 2,"Agriculture, forestry and fishing",North East,2016.0,6.8,4.5,4.5,1.2,0.07,0.09,0.07,0.06
118,A (Part) 2,"Agriculture, forestry and fishing",North East,2017.0,10.6,6.2,7.4,2.4,0.09,0.11,0.11,0.12
119,A (Part) 2,"Agriculture, forestry and fishing",North East,2018.0,9.4,5.5,6.4,3.8,0.09,0.11,0.09,0.13
120,A (Part) 2,"Agriculture, forestry and fishing",North East,2019.0,18,14.7,6.9,1.6,0.13,0.2,0.1,0.07
121,A (Part) 2,"Agriculture, forestry and fishing",North West,2012.0,12.1,6.6,10,1.5,0.05,0.06,0.07,0.03
122,A (Part) 2,"Agriculture, forestry and fishing",North West,2013.0,15.1,9,8.9,5.4,0.07,0.09,0.08,0.11
123,A (Part) 2,"Agriculture, forestry and fishing",North West,2014.0,18.1,9.6,12.6,6.1,0.08,0.09,0.09,0.12
124,A (Part) 2,"Agriculture, forestry and fishing",North West,2015.0,21.5,11.6,14.6,6.8,0.09,0.1,0.11,0.13
125,A (Part) 2,"Agriculture, forestry and fishing",North West,2016.0,17.1,14.1,9.7,5.5,0.08,0.11,0.09,0.11
126,A (Part) 2,"Agriculture, forestry and fishing",North West,2017.0,17.8,11.6,12.8,6.7,0.07,0.08,0.09,0.12
127,A (Part) 2,"Agriculture, forestry and fishing",North West,2018.0,26,15.7,15.9,8.7,0.1,0.12,0.1,0.13
128,A (Part) 2,"Agriculture, forestry and fishing",North West,2019.0,23.3,15.4,14.3,7.8,0.09,0.13,0.1,0.12
129,A (Part) 2,"Agriculture, forestry and fishing",Yorkshire and The Humber,2012.0,13.1,6.3,11.1,1.7,0.07,0.09,0.08,0.05
130,A (Part) 2,"Agriculture, forestry and fishing",Yorkshire and The Humber,2013.0,10.2,6.3,6.8,1.8,0.05,0.07,0.06,0.06
131,A (Part) 2,"Agriculture, forestry and fishing",Yorkshire and The Humber,2014.0,15.9,6.8,11.8,2.1,0.07,0.07,0.09,0.06
132,A (Part) 2,"Agriculture, forestry and fishing",Yorkshire and The Humber,2015.0,16.3,9.2,11.3,2.5,0.08,0.1,0.09,0.08
133,A (Part) 2,"Agriculture, forestry and fishing",Yorkshire and The Humber,2016.0,14.5,9.1,11,2.4,0.07,0.09,0.1,0.07
134,A (Part) 2,"Agriculture, forestry and fishing",Yorkshire and The Humber,2017.0,20.9,13.4,14.7,4.8,0.08,0.1,0.12,0.13
135,A (Part) 2,"Agriculture, forestry and fishing",Yorkshire and The Humber,2018.0,25.9,13.6,18.1,4.2,0.1,0.13,0.12,0.1
136,A (Part) 2,"Agriculture, forestry and fishing",Yorkshire and The Humber,2019.0,23.3,17.9,12,2.9,0.09,0.15,0.08,0.07
137,A (Part) 2,"Agriculture, forestry and fishing",East Midlands,2012.0,14.8,7.9,11.9,2.3,0.07,0.09,0.09,0.06
138,A (Part) 2,"Agriculture, forestry and fishing",East Midlands,2013.0,14.6,11.3,7,2.8,0.04,0.08,0.04,0.05
139,A (Part) 2,"Agriculture, forestry and fishing",East Midlands,2014.0,19.9,8.7,15.4,2.7,0.06,0.06,0.08,0.05
140,A (Part) 2,"Agriculture, forestry and fishing",East Midlands,2015.0,21,12.2,14.2,3.5,0.08,0.09,0.09,0.07
141,A (Part) 2,"Agriculture, forestry and fishing",East Midlands,2016.0,18.6,12.7,12.4,3,0.06,0.09,0.07,0.05
142,A (Part) 2,"Agriculture, forestry and fishing",East Midlands,2017.0,21.7,12.8,16,3.6,0.06,0.08,0.08,0.06
143,A (Part) 2,"Agriculture, forestry and fishing",East Midlands,2018.0,26.4,16.9,15.9,5.3,0.07,0.11,0.07,0.08
144,A (Part) 2,"Agriculture, forestry and fishing",East Midlands,2019.0,24.7,15.5,16.9,3.7,0.07,0.1,0.07,0.06
145,A (Part) 2,"Agriculture, forestry and fishing",West Midlands,2012.0,13.9,6.9,11.9,1.5,0.09,0.12,0.11,0.05
146,A (Part) 2,"Agriculture, forestry and fishing",West Midlands,2013.0,9.9,6.7,5.5,2.2,0.06,0.08,0.06,0.07
147,A (Part) 2,"Agriculture, forestry and fishing",West Midlands,2014.0,14.4,7.8,10.9,3.2,0.07,0.08,0.1,0.08
148,A (Part) 2,"Agriculture, forestry and fishing",West Midlands,2015.0,17.3,9.7,12.4,3.6,0.09,0.09,0.12,0.09
149,A (Part) 2,"Agriculture, forestry and fishing",West Midlands,2016.0,11.2,8.8,7.1,2.2,0.07,0.09,0.09,0.06
150,A (Part) 2,"Agriculture, forestry and fishing",West Midlands,2017.0,19.3,12.2,14,2.9,0.09,0.1,0.13,0.08
151,A (Part) 2,"Agriculture, forestry and fishing",West Midlands,2018.0,22.7,14.7,14.1,4.8,0.1,0.12,0.11,0.1
152,A (Part) 2,"Agriculture, forestry and fishing",West Midlands,2019.0,17.4,14,12.5,3.7,0.09,0.14,0.12,0.08
153,A (Part) 2,"Agriculture, forestry and fishing",East of England,2012.0,31.4,13.7,23.7,3.2,0.08,0.09,0.1,0.04
154,A (Part) 2,"Agriculture, forestry and fishing",East of England,2013.0,35.8,21.2,19.1,4.1,0.08,0.11,0.08,0.05
155,A (Part) 2,"Agriculture, forestry and fishing",East of England,2014.0,30,12.7,25.8,4.3,0.07,0.08,0.09,0.06
156,A (Part) 2,"Agriculture, forestry and fishing",East of England,2015.0,38.9,20,25.4,4.6,0.09,0.1,0.09,0.06
157,A (Part) 2,"Agriculture, forestry and fishing",East of England,2016.0,30.3,18.4,18.1,4.1,0.08,0.1,0.08,0.05
158,A (Part) 2,"Agriculture, forestry and fishing",East of England,2017.0,39.5,23.2,22.7,6.2,0.08,0.1,0.09,0.07
159,A (Part) 2,"Agriculture, forestry and fishing",East of England,2018.0,46.7,27,26.2,7.1,0.1,0.12,0.1,0.08
160,A (Part) 2,"Agriculture, forestry and fishing",East of England,2019.0,42.6,25,25.7,5.1,0.09,0.12,0.1,0.05
161,A (Part) 2,"Agriculture, forestry and fishing",London,2012.0,5.1,2.3,4.3,0.6,0.1,0.1,0.14,0.05
162,A (Part) 2,"Agriculture, forestry and fishing",London,2013.0,3.9,2.5,2.2,0.9,0.06,0.08,0.07,0.06
163,A (Part) 2,"Agriculture, forestry and fishing",London,2014.0,4.9,2.3,3.8,0.8,0.08,0.08,0.11,0.07
164,A (Part) 2,"Agriculture, forestry and fishing",London,2015.0,6.7,4.1,4.5,1.1,0.1,0.12,0.14,0.1
165,A (Part) 2,"Agriculture, forestry and fishing",London,2016.0,5.2,3.7,3.7,1.8,0.08,0.1,0.11,0.11
166,A (Part) 2,"Agriculture, forestry and fishing",London,2017.0,11.9,6.7,8.7,2,0.13,0.13,0.21,0.1
167,A (Part) 2,"Agriculture, forestry and fishing",London,2018.0,8.9,6.6,5.4,1.9,0.1,0.12,0.12,0.1
168,A (Part) 2,"Agriculture, forestry and fishing",London,2019.0,8,7.4,5.3,1.8,0.09,0.16,0.11,0.08
169,A (Part) 2,"Agriculture, forestry and fishing",South East,2012.0,37.5,14.4,33.3,3,0.11,0.12,0.14,0.05
170,A (Part) 2,"Agriculture, forestry and fishing",South East,2013.0,20.8,13.6,12.5,5,0.06,0.08,0.06,0.07
171,A (Part) 2,"Agriculture, forestry and fishing",South East,2014.0,27.5,11.8,20.7,4.1,0.07,0.07,0.09,0.06
172,A (Part) 2,"Agriculture, forestry and fishing",South East,2015.0,31.5,18.7,21.3,5.5,0.07,0.09,0.08,0.07
173,A (Part) 2,"Agriculture, forestry and fishing",South East,2016.0,24.2,17.3,17.6,4.3,0.06,0.09,0.07,0.05
174,A (Part) 2,"Agriculture, forestry and fishing",South East,2017.0,46.4,26.5,34,7.9,0.09,0.1,0.12,0.09
175,A (Part) 2,"Agriculture, forestry and fishing",South East,2018.0,46.3,27,32.4,7.8,0.09,0.12,0.11,0.08
176,A (Part) 2,"Agriculture, forestry and fishing",South East,2019.0,40.2,30.3,26.2,5.4,0.09,0.14,0.1,0.06
177,A (Part) 2,"Agriculture, forestry and fishing",South West,2012.0,28.5,13,24.5,3,0.09,0.1,0.11,0.05
178,A (Part) 2,"Agriculture, forestry and fishing",South West,2013.0,24.6,14.5,17,4.2,0.07,0.09,0.08,0.06
179,A (Part) 2,"Agriculture, forestry and fishing",South West,2014.0,37.8,15.8,27.3,4.9,0.09,0.09,0.11,0.07
180,A (Part) 2,"Agriculture, forestry and fishing",South West,2015.0,36,20.2,25.2,5.3,0.08,0.1,0.1,0.07
181,A (Part) 2,"Agriculture, forestry and fishing",South West,2016.0,29.4,19.2,22,4.2,0.07,0.1,0.09,0.06
182,A (Part) 2,"Agriculture, forestry and fishing",South West,2017.0,52.9,31.5,33.4,14.9,0.1,0.12,0.12,0.17
183,A (Part) 2,"Agriculture, forestry and fishing",South West,2018.0,49.5,29.3,32.2,8.1,0.1,0.12,0.11,0.08
184,A (Part) 2,"Agriculture, forestry and fishing",South West,2019.0,64.6,51.1,29.5,7.6,0.12,0.2,0.1,0.08
185,A (Part) 2,"Agriculture, forestry and fishing",England,2012.0,144.6,68.1,124.4,15.6,0.07,0.09,0.1,0.04
186,A (Part) 2,"Agriculture, forestry and fishing",England,2013.0,111.7,74.7,66.3,22.5,0.05,0.07,0.05,0.05
187,A (Part) 2,"Agriculture, forestry and fishing",England,2014.0,145.1,59.2,116.1,20,0.06,0.06,0.08,0.05
188,A (Part) 2,"Agriculture, forestry and fishing",England,2015.0,173.4,100,119.7,27.8,0.07,0.09,0.09,0.07
189,A (Part) 2,"Agriculture, forestry and fishing",England,2016.0,125.2,94.9,84.3,21.3,0.06,0.08,0.07,0.05
190,A (Part) 2,"Agriculture, forestry and fishing",England,2017.0,213.8,130.6,150.1,42.2,0.08,0.09,0.1,0.09
191,A (Part) 2,"Agriculture, forestry and fishing",England,2018.0,230.8,145.2,145.2,42.6,0.08,0.11,0.09,0.07
192,A (Part) 2,"Agriculture, forestry and fishing",England,2019.0,212.2,168.4,118.4,27.3,0.08,0.13,0.08,0.05
193,A (Part) 2,"Agriculture, forestry and fishing",Wales,2012.0,18,6.7,16.1,1.4,0.09,0.12,0.11,0.03
194,A (Part) 2,"Agriculture, forestry and fishing",Wales,2013.0,9.8,5.9,6.6,2.1,0.06,0.09,0.07,0.08
195,A (Part) 2,"Agriculture, forestry and fishing",Wales,2014.0,13,5.6,9.6,1.9,0.08,0.08,0.11,0.07
196,A (Part) 2,"Agriculture, forestry and fishing",Wales,2015.0,14.7,8.3,10,2.2,0.09,0.11,0.11,0.09
197,A (Part) 2,"Agriculture, forestry and fishing",Wales,2016.0,11.6,7.9,8.6,1.8,0.07,0.1,0.09,0.07
198,A (Part) 2,"Agriculture, forestry and fishing",Wales,2017.0,23.3,12.9,17.4,4,0.1,0.12,0.14,0.13
199,A (Part) 2,"Agriculture, forestry and fishing",Wales,2018.0,22.9,13,15.9,5.1,0.1,0.13,0.12,0.12
200,A (Part) 2,"Agriculture, forestry and fishing",Wales,2019.0,19.8,15.9,10.5,2.5,0.09,0.17,0.08,0.07
201,A (Part) 2,"Agriculture, forestry and fishing",Scotland,2012.0,70.4,27.5,60.8,6.4,0.07,0.08,0.07,0.04
202,A (Part) 2,"Agriculture, forestry and fishing",Scotland,2013.0,60.2,28.8,56.1,8.8,0.05,0.06,0.07,0.05
203,A (Part) 2,"Agriculture, forestry and fishing",Scotland,2014.0,127.9,53.4,86.3,14.7,0.09,0.1,0.1,0.07
204,A (Part) 2,"Agriculture, forestry and fishing",Scotland,2015.0,81.4,35.3,61.8,9.4,0.06,0.08,0.07,0.05
